Record_ID,Location_ID,State_Code,State,District,Taluk,Agro_Climatic_Zone,Year,Month_No,Month,Season,Crop,Crop_Category,Pest,Crop_Stage,Temperature_C,Humidity_Pct,Rainfall_7d_mm,Rainfall_30d_mm,Wind_kmh,Soil_Moisture_Pct,Days_Since_Rain,NDVI,Previous_Pest_Incidence_Pct,Nearby_Outbreak_Flag,Recent_Pesticide_Flag,Irrigation_Type,Risk_Score,Risk_Level,Confidence_Pct,Recommended_Action,Dataset_Split,Synthetic_Record,Source_Basis
AGR-000011,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,3,Mar,Summer/Zaid,Okra,Vegetable,Jassid,Seedling,29.7,68.4,12.4,33.7,9.0,34.5,2,0.588,57.8,1,1,Mixed,64.4,Medium,76.8,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000012,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,8,Aug,Kharif/Monsoon,Okra,Vegetable,Jassid,Vegetative,26.7,70.5,9.3,75.0,10.6,34.7,9,0.527,58.6,0,0,Drip,67.0,Medium,73.1,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Test,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000013,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,6,Jun,Kharif/Monsoon,Okra,Vegetable,Whitefly,Flowering,27.0,70.2,15.8,114.1,6.7,47.0,2,0.6,57.3,1,0,Borewell,78.2,High,78.0,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000014,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,8,Aug,Kharif/Monsoon,Okra,Vegetable,Whitefly,Fruiting/Grain Filling,25.2,67.5,10.5,71.9,10.6,42.3,2,0.54,68.9,0,0,Drip,72.6,Medium,82.9,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000015,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,12,Dec,Rabi/Winter,Okra,Vegetable,Whitefly,Maturity,26.6,69.6,5.4,22.0,5.5,42.7,11,0.533,54.1,1,0,Borewell,70.5,Medium,81.2,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000016,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,2,Feb,Rabi/Winter,Okra,Vegetable,Whitefly,Seedling,28.5,56.4,2.2,10.2,4.8,32.9,9,0.593,59.2,0,1,Mixed,63.8,Medium,73.8,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000017,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,5,May,Pre-Monsoon,Okra,Vegetable,Whitefly,Vegetative,30.8,69.9,13.2,68.5,8.3,48.0,1,0.552,60.8,1,0,Mixed,75.5,High,84.4,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000018,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,8,Aug,Kharif/Monsoon,Okra,Vegetable,Whitefly,Flowering,27.1,62.2,26.1,73.1,12.3,34.4,3,0.482,60.4,1,1,Sprinkler,80.5,High,76.1,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000019,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,9,Sep,Kharif/Monsoon,Maize,Cereal,Maize Stem Borer,Fruiting/Grain Filling,26.5,67.0,10.2,64.3,4.7,37.9,2,0.545,72.6,0,1,Mixed,64.5,Medium,77.2,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000020,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,12,Dec,Rabi/Winter,Maize,Cereal,Maize Stem Borer,Maturity,26.5,59.9,4.2,26.8,10.2,33.0,14,0.494,69.2,0,1,Mixed,54.1,Medium,78.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000021,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,1,Jan,Rabi/Winter,Maize,Cereal,Maize Stem Borer,Seedling,27.3,60.0,5.7,15.9,2.9,23.7,14,0.455,60.8,1,1,Mixed,59.4,Medium,80.8,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000022,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,4,Apr,Summer/Zaid,Maize,Cereal,Maize Stem Borer,Vegetative,28.8,69.9,9.0,73.9,10.8,33.7,13,0.574,69.5,1,1,Drip,75.2,High,75.2,Immediate field scouting; deploy IPM controls; notify local extension support,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000023,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,7,Jul,Kharif/Monsoon,Maize,Cereal,Maize Stem Borer,Flowering,27.5,66.2,52.1,138.3,6.9,42.0,0,0.535,67.0,0,0,Sprinkler,76.1,High,77.2,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000024,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,11,Nov,Rabi/Winter,Maize,Cereal,Maize Stem Borer,Fruiting/Grain Filling,25.3,59.5,11.3,53.3,5.0,27.6,3,0.495,58.9,0,0,Drip,66.5,Medium,79.6,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000025,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,11,Nov,Rabi/Winter,Sorghum,Cereal,Stem Borer,Maturity,25.5,65.2,8.9,27.9,3.9,39.1,14,0.526,75.0,0,1,Canal,61.0,Medium,80.2,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000026,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,1,Jan,Rabi/Winter,Sorghum,Cereal,Stem Borer,Seedling,26.6,62.8,3.8,12.5,1.0,28.0,10,0.453,54.8,1,1,Canal,62.2,Medium,79.9,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000027,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,4,Apr,Summer/Zaid,Sorghum,Cereal,Stem Borer,Vegetative,28.9,65.2,14.1,70.8,6.7,36.4,2,0.56,60.9,0,0,Mixed,76.1,High,84.8,Immediate field scouting; deploy IPM controls; notify local extension support,Test,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000028,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,8,Aug,Kharif/Monsoon,Sorghum,Cereal,Stem Borer,Flowering,26.0,67.9,13.5,71.3,9.1,34.0,2,0.511,61.6,0,1,Borewell,68.3,Medium,74.9,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000029,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,10,Oct,Post-Monsoon,Sorghum,Cereal,Stem Borer,Fruiting/Grain Filling,25.9,76.2,36.5,112.2,6.9,56.0,0,0.712,73.2,0,1,Sprinkler,68.2,Medium,74.5,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000030,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,12,Dec,Rabi/Winter,Sorghum,Cereal,Stem Borer,Maturity,26.7,61.1,10.2,27.9,4.4,39.1,1,0.653,64.2,1,0,Rainfed,79.1,High,83.5,Immediate field scouting; deploy IPM controls; notify local extension support,Test,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000031,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,12,Dec,Rabi/Winter,Rice,Cereal,Brown Planthopper,Seedling,24.1,59.1,7.8,30.0,4.2,30.6,7,0.513,55.3,0,1,Rainfed,42.2,Low,72.3,Routine scouting; maintain field sanitation and preventive IPM,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000032,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,3,Mar,Summer/Zaid,Rice,Cereal,Brown Planthopper,Vegetative,27.7,67.5,6.3,21.3,7.1,36.4,10,0.521,66.2,1,1,Rainfed,62.5,Medium,82.4,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000033,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,5,May,Pre-Monsoon,Rice,Cereal,Brown Planthopper,Flowering,28.6,68.1,17.1,63.1,5.4,40.9,2,0.5,50.4,1,0,Borewell,71.9,Medium,78.7,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000034,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,9,Sep,Kharif/Monsoon,Rice,Cereal,Brown Planthopper,Fruiting/Grain Filling,27.3,62.1,13.7,74.3,6.5,41.8,3,0.621,62.5,0,1,Mixed,59.0,Medium,77.6,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000035,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,11,Nov,Rabi/Winter,Rice,Cereal,Brown Planthopper,Maturity,24.9,64.0,14.0,49.3,5.4,39.9,3,0.619,67.3,1,0,Canal,62.6,Medium,79.2,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000036,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,2,Feb,Rabi/Winter,Rice,Cereal,Brown Planthopper,Seedling,28.2,69.1,3.9,14.9,4.0,36.7,10,0.527,53.4,0,0,Canal,53.6,Medium,81.0,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000037,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,3,Mar,Summer/Zaid,Rice,Cereal,Gall Midge,Vegetative,30.6,65.6,7.6,20.8,7.6,39.2,11,0.503,60.2,1,1,Rainfed,45.6,Medium,73.8,Routine scouting; maintain field sanitation and preventive IPM,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000038,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,4,Apr,Summer/Zaid,Rice,Cereal,Gall Midge,Flowering,28.1,62.4,15.6,52.3,6.9,40.8,1,0.536,47.6,0,1,Sprinkler,51.3,Medium,72.1,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000039,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,8,Aug,Kharif/Monsoon,Rice,Cereal,Gall Midge,Fruiting/Grain Filling,27.6,73.9,35.4,182.5,8.0,57.2,0,0.685,74.4,1,1,Rainfed,85.9,High,76.2,Immediate field scouting; deploy IPM controls; notify local extension support,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000040,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,11,Nov,Rabi/Winter,Rice,Cereal,Gall Midge,Maturity,26.3,64.8,8.5,25.0,3.7,41.3,10,0.594,54.7,1,0,Sprinkler,68.1,Medium,78.5,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000041,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,3,Mar,Summer/Zaid,Rice,Cereal,Gall Midge,Seedling,29.6,70.4,9.3,32.0,9.8,30.7,13,0.49,69.4,0,1,Sprinkler,51.0,Medium,81.7,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000042,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,5,May,Pre-Monsoon,Rice,Cereal,Gall Midge,Vegetative,29.4,76.0,26.7,127.1,5.3,46.4,3,0.528,61.7,0,0,Borewell,65.0,Medium,74.9,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000043,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,4,Apr,Summer/Zaid,Finger Millet (Ragi),Cereal,Shoot Fly,Flowering,28.5,69.9,11.4,83.6,3.4,42.8,3,0.651,54.1,1,0,Mixed,85.2,High,82.5,Immediate field scouting; deploy IPM controls; notify local extension support,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000044,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,6,Jun,Kharif/Monsoon,Finger Millet (Ragi),Cereal,Shoot Fly,Fruiting/Grain Filling,26.6,79.8,32.2,186.5,8.7,64.4,3,0.642,57.6,0,1,Canal,64.0,Medium,83.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000045,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,10,Oct,Post-Monsoon,Finger Millet (Ragi),Cereal,Shoot Fly,Maturity,26.3,69.3,9.3,62.0,4.6,40.0,9,0.565,61.0,0,0,Drip,73.1,Medium,77.5,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Test,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000046,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,2,Feb,Rabi/Winter,Finger Millet (Ragi),Cereal,Shoot Fly,Seedling,28.0,64.6,2.5,15.9,6.3,38.0,6,0.616,70.5,0,1,Drip,57.0,Medium,73.7,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000047,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,4,Apr,Summer/Zaid,Finger Millet (Ragi),Cereal,Shoot Fly,Vegetative,28.9,68.1,7.5,38.9,9.3,41.9,5,0.54,56.2,0,0,Drip,72.0,Medium,77.4,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000048,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,8,Aug,Kharif/Monsoon,Finger Millet (Ragi),Cereal,Shoot Fly,Flowering,27.6,71.0,16.7,72.7,7.4,37.5,3,0.6,54.8,1,0,Mixed,82.1,High,75.3,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000049,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,7,Jul,Kharif/Monsoon,Brinjal,Vegetable,Aphid,Fruiting/Grain Filling,25.6,79.5,57.2,218.5,13.6,58.4,0,0.605,45.3,0,1,Rainfed,48.8,Medium,81.9,Routine scouting; maintain field sanitation and preventive IPM,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000050,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,10,Oct,Post-Monsoon,Brinjal,Vegetable,Aphid,Maturity,25.6,66.3,28.2,114.8,9.9,38.0,2,0.611,64.0,0,0,Borewell,60.7,Medium,72.0,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000051,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,1,Jan,Rabi/Winter,Brinjal,Vegetable,Aphid,Seedling,25.5,60.4,2.4,8.9,6.2,29.2,5,0.565,62.5,1,0,Rainfed,71.0,Medium,79.4,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000052,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,2,Feb,Rabi/Winter,Brinjal,Vegetable,Aphid,Vegetative,27.8,64.6,2.0,8.7,6.9,33.4,11,0.483,66.5,0,1,Rainfed,61.7,Medium,77.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000053,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,6,Jun,Kharif/Monsoon,Brinjal,Vegetable,Aphid,Flowering,27.3,69.0,19.8,125.0,13.3,45.0,3,0.676,71.3,1,1,Borewell,71.8,Medium,83.6,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000054,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,9,Sep,Kharif/Monsoon,Brinjal,Vegetable,Aphid,Fruiting/Grain Filling,27.4,73.1,15.3,81.1,3.9,45.1,1,0.653,56.4,0,1,Borewell,66.7,Medium,78.8,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000055,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,9,Sep,Kharif/Monsoon,Chilli,Spice/Vegetable,Fruit Borer,Maturity,28.7,73.8,12.2,79.2,9.7,36.3,1,0.595,67.0,0,1,Mixed,64.4,Medium,82.6,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000056,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,12,Dec,Rabi/Winter,Chilli,Spice/Vegetable,Fruit Borer,Seedling,25.3,66.9,10.0,34.6,7.0,37.4,3,0.636,64.6,0,1,Sprinkler,59.8,Medium,78.2,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000057,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,1,Jan,Rabi/Winter,Chilli,Spice/Vegetable,Fruit Borer,Vegetative,26.5,58.3,3.6,14.7,7.4,22.7,10,0.501,54.4,1,1,Sprinkler,55.9,Medium,74.7,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Validation,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000058,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,6,Jun,Kharif/Monsoon,Chilli,Spice/Vegetable,Fruit Borer,Flowering,26.3,78.4,35.8,135.4,7.9,57.4,0,0.62,67.7,0,0,Drip,74.8,Medium,84.2,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000059,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,8,Aug,Kharif/Monsoon,Chilli,Spice/Vegetable,Fruit Borer,Fruiting/Grain Filling,27.5,66.6,31.1,94.0,5.7,42.1,3,0.6,63.1,1,0,Rainfed,89.2,High,80.8,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000060,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,10,Oct,Post-Monsoon,Chilli,Spice/Vegetable,Fruit Borer,Maturity,29.0,73.1,18.2,84.3,7.6,40.0,3,0.541,59.7,0,1,Mixed,56.9,Medium,71.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000061,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,10,Oct,Post-Monsoon,Sorghum,Cereal,Shoot Fly,Seedling,25.5,68.6,11.1,46.5,6.3,33.0,1,0.497,55.9,0,1,Mixed,56.9,Medium,71.9,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000062,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,12,Dec,Rabi/Winter,Sorghum,Cereal,Shoot Fly,Vegetative,25.6,66.9,9.9,42.7,3.6,29.7,9,0.601,67.1,1,1,Borewell,64.5,Medium,79.5,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000063,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2023,3,Mar,Summer/Zaid,Sorghum,Cereal,Shoot Fly,Flowering,29.6,59.6,7.5,21.6,2.6,25.9,8,0.436,59.3,0,0,Sprinkler,59.6,Medium,76.9,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000064,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2024,7,Jul,Kharif/Monsoon,Sorghum,Cereal,Shoot Fly,Fruiting/Grain Filling,27.4,79.2,59.8,158.6,11.9,51.0,0,0.658,64.4,0,0,Mixed,81.1,High,78.9,Immediate field scouting; deploy IPM controls; notify local extension support,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
AGR-000065,KA_D01_T01,KA,Karnataka,Bagalkote,Bagalkote,Interior Irrigated,2025,11,Nov,Rabi/Winter,Sorghum,Cereal,Shoot Fly,Maturity,25.4,63.6,12.2,64.2,9.0,41.8,2,0.534,49.6,1,0,Sprinkler,72.9,Medium,73.3,Increase scouting frequency; use traps/biocontrol where suitable; review IPM threshold,Train,Yes,Synthetic ML-development record constrained by official crop/pest references
